,endTime,artistName,trackName,msPlayed
2028,2021-04-25 14:14,Antônio Carlos Jobim,The Girl From Ipanema,10645
2029,2021-04-25 14:14,Brigitte Bardot,Le soleil,2538
2030,2021-04-25 14:14,Henri Salvador,Jardin d'hiver,168000
2031,2021-04-25 14:18,Jean Sablon,Depuis que je suis à Paris,875
2032,2021-04-25 14:18,Arctic Monkeys,Only Ones Who Know,6506
2033,2021-04-25 14:18,Brigitte Bardot,Le soleil,193440
2034,2021-04-25 14:21,Luce,"C'est ça l'amour - Extrait de ""Cendrillon""",171106
2035,2021-04-27 16:27,Jean Sablon,Depuis que je suis à Paris,1855
2036,2021-04-27 16:27,Kendrick Lamar,All The Stars (with SZA),2901
2037,2021-04-27 16:27,Arctic Monkeys,Only Ones Who Know,3157
2038,2021-04-27 16:27,Avril Lavigne,Keep Holding On,2560
2039,2021-04-27 16:27,Nat King Cole,L-O-V-E,5418
2040,2021-04-27 16:27,Charles Trenet,"Vous, Qui Passez Sans Me Voir",2005
2041,2021-04-28 17:33,Ella Fitzgerald,Cheek To Cheek,2240
2042,2021-04-28 17:36,Jean Sablon,Ces petites choses,190987
2043,2021-04-28 17:39,Serge Gainsbourg,La javanaise,149240
2044,2021-04-28 17:42,Arctic Monkeys,Too Much To Ask,183253
2045,2021-04-28 17:45,Keren Ann,Jardin d'hiver,178160
2046,2021-04-28 17:48,Coralie Clement,Samba de mon cœur qui bat,151832
2047,2021-04-28 19:51,Wolfgang Amadeus Mozart,"Die Zauberflöte (The Magic Flute), K. 620, Act 1: ""Der Vogelfänger bin ich ja"" (Birdcatcher's Aria)",11136
2048,2021-04-28 19:54,Keren Ann,Jardin d'hiver,178160
2049,2021-04-29 23:49,Coralie Clement,Samba de mon cœur qui bat,10007
2050,2021-04-29 23:49,Brigitte Bardot,Le soleil,4179
2051,2021-04-29 23:49,Angèle,Ta reine,3808
2052,2021-04-29 23:55,Rod Stewart,I Don't Want to Talk About It - Live at Birmingham 12/14/1980,346938
2053,2021-04-29 23:56,Eagles,Hotel California - 2013 Remaster,22244
2054,2021-04-29 23:57,Ella Fitzgerald,Cheek To Cheek,66966
2055,2021-04-29 23:59,Bon Jovi,It's My Life,126827
2056,2021-04-29 23:59,Harry James,"It's Been a Long, Long Time",5526
2057,2021-04-30 00:00,Carla Bruni,Quelqu'un m'a dit,63738
2058,2021-04-30 00:01,Bon Jovi,It's My Life,2925
2059,2021-04-30 00:01,Carla Bruni,Quelqu'un m'a dit,2113
2060,2021-04-30 00:01,Carla Bruni,Le plus beau du quartier,42361
2061,2021-04-30 00:02,Dove Cameron,If Only,2066
2062,2021-04-30 00:02,Bon Jovi,It's My Life,1462
2063,2021-04-30 00:02,Arctic Monkeys,When The Sun Goes Down,7314
2064,2021-04-30 00:02,Amy Winehouse,The Girl From Ipanema,20410
2065,2021-04-30 00:02,Harry James,"It's Been a Long, Long Time",7998
2066,2021-04-30 00:06,Billie Holiday,Blue Moon,39883
2067,2021-04-30 00:06,Harry James,"It's Been a Long, Long Time",192280
2068,2021-05-01 00:44,Bon Jovi,It's My Life,0
2069,2021-05-01 00:44,Billie Holiday,Blue Moon,0
2070,2021-05-01 00:44,Carla Bruni,Le plus beau du quartier,0
2071,2021-05-01 00:47,Brigitte Bardot,Un jour comme un autre,140831
2072,2021-05-01 00:50,Arctic Monkeys,Too Much To Ask,183253
2073,2021-05-01 00:56,Louise Verneuil,À mort amant,366413
2074,2021-05-01 01:00,Luce,"C'est ça l'amour - Extrait de ""Cendrillon""",171106
2075,2021-05-01 01:34,The Temptations,My Girl,2901
2076,2021-05-01 01:34,Coralie Clement,Samba de mon cœur qui bat,488
2077,2021-05-01 01:36,Serge Gainsbourg,La javanaise,149240
2078,2021-05-01 01:37,The Temptations,My Girl,9130
2079,2021-05-01 01:37,Dove Cameron,If Only,2730
2080,2021-05-01 01:37,Carla Bruni,Quelqu'un m'a dit,1386
2081,2021-05-01 01:37,Amy Winehouse,The Girl From Ipanema,2197
2082,2021-05-01 01:37,Antônio Carlos Jobim,The Girl From Ipanema,7828
2083,2021-05-01 01:45,Diante do Trono,Canção do Apocalipse - Ao Vivo,437386
2084,2021-05-01 01:48,Som Do Reino,Quebro Meu Vaso,132510
2085,2021-05-01 01:52,Cassiane,Hino da Vitória,227369
2086,2021-05-01 01:57,Fernandinho,Uma Nova História - Acústico,278000
2087,2021-05-01 02:06,David Quinlan,Agnus Dei,508122
2088,2021-05-01 02:13,Toque no Altar,Restitui,436773
2089,2021-05-01 02:21,Ministério Zoe,Aquieta Minh'alma,425800
2090,2021-05-01 02:23,Luma Elpidio,Que Amor É Esse,100679
2091,2021-05-01 02:29,Casa Worship,Eu Te Vejo Em Tudo,346697
2092,2021-05-01 02:37,Diante do Trono,Aclame ao Senhor - Ao Vivo,433223
2093,2021-05-01 12:55,Diante do Trono,Aclame ao Senhor - Ao Vivo,21913
2094,2021-05-01 13:00,Trazendo a Arca,Marca da Promessa,315693
2095,2021-05-01 13:05,Anderson Freire,Raridade,297726
2096,2021-05-01 13:13,Coralie Clement,Samba de mon cœur qui bat,6784
2097,2021-05-01 13:13,Eyshila,Fiel a Mim,405590
2098,2021-05-01 13:15,Antonio Vivaldi,"Vivaldi Variation (Arr. for Piano from Concerto for Strings in G Minor, RV 156)",112357
2099,2021-05-01 13:16,Erik Satie,Gymnopédie No. 1,10154
2100,2021-05-01 13:16,Tomaso Albinoni,Adagio in G Minor,61079
2101,2021-05-01 13:20,Edvard Grieg,"Peer Gynt Suite No. 1, Op. 46: Morning Mood - Arr. for Piano",233111
2102,2021-05-01 13:24,London Symphony Orchestra,"""Dance Of The Hours"" from La Gioconda",210720
2103,2021-05-01 13:25,Stacey Sarpong,Trust His Plan,14817
2104,2021-05-01 13:25,Wolfgang Amadeus Mozart,"12 Variations in C Major on ""Ah, vous dirai-je Maman"", K. 265: Tema (“Twinkle, Twinkle, Little Star”)",35724
2105,2021-05-01 13:48,Felix Mendelssohn,"Mendelssohn: Violin Concerto No. 2 in E Minor, Op. 64: II. Andante",485306
2106,2021-05-01 13:53,Frédéric Chopin,"Waltz in A-Flat Major, Op. 69 No. 1 ""L'adieu"" (Ed. J. Fontana)",274160
2107,2021-05-01 14:00,Franz Joseph Haydn,"String Quartet No. 2 in C Major, Op. 54: I. Vivace",370506
2108,2021-05-01 14:01,The Temptations,My Girl,0
2109,2021-05-01 14:01,Johann Sebastian Bach,Toccata and Fugue in D minor,0
2110,2021-05-01 14:01,Johann Sebastian Bach,Toccata and Fugue in D minor,52661
2111,2021-05-01 14:01,Johnny Cash,You Are My Sunshine,4458
2112,2021-05-01 14:01,Tanya Gordon,Grand Allegro 2,1621
2113,2021-05-01 14:01,Elvis Presley,Can't Help Falling in Love,4778
2114,2021-05-01 14:01,Antônio Carlos Jobim,The Girl From Ipanema,0
2115,2021-05-01 14:03,Carla Bruni,Quelqu'un m'a dit,99071
2116,2021-05-01 14:05,Françoise Hardy,Le premier bonheur du jour - Remastered,110588
2117,2021-05-01 14:08,Jean Sablon,Ces petites choses,190982
2118,2021-05-01 14:08,Fréhel,Si tu n'étais pas là,22582
2119,2021-05-01 14:10,Dove Cameron,If Only,1877
2120,2021-05-01 14:10,Lana Del Rey,Video Games,105557
2121,2021-05-01 14:10,Amy Winehouse,The Girl From Ipanema,1642
2122,2021-05-01 14:10,Marília Mendonça,O Que Falta Em Você Sou Eu - Ao Vivo,2901
2123,2021-05-01 14:10,Haikaiss,De Longe. - Acústico,2282
2124,2021-05-01 14:15,Eyshila,Me Derramar,279825
2125,2021-05-01 14:21,Laura Souguellis,Em Teus Braços,3413
2126,2021-05-01 14:21,Diante do Trono,Águas Purificadoras - Ao Vivo,289159
2127,2021-05-01 14:28,Davi Sacer,Tua Graça Me Basta,439267
2128,2021-05-01 14:38,Hillsong Worship,Broken Vessels (Amazing Grace),568791
2129,2021-05-01 14:44,Eyshila,Nada Pode Calar Um Adorador,319692
2130,2021-05-01 14:54,André Aquino,Quando Ele Vem - Live,576041
2131,2021-05-01 14:55,Som Do Reino,Quebro Meu Vaso,62154
2132,2021-05-01 15:01,Diante do Trono,Coração Igual ao Teu - Ao Vivo,308226
2133,2021-05-01 15:07,Fernandinho,Nada Além do Sangue - Acústico,388373
